id,created_at,name,cover_url,genre_id
1,2022-07-06 10:43:42+00,Noah,https://i.scdn.co/image/ab6761610000e5eba8fe25ec607f3cca02f5db6c,1
2,2022-07-06 10:43:59+00,Guns n Roses,https://i.scdn.co/image/ab67616d0000b2734e04404c40be7b80855656a8,2
3,2022-07-06 14:43:34+00,Coldplay,https://i.scdn.co/image/ab67616d00001e02b151437d4adc97ce6c828d4a,3
4,2023-01-04 10:08:02.813613+00,Kshmr,https://i.scdn.co/image/ab6761610000e5ebd1db941d6e307ab229651fae,4
5,2023-02-20 10:25:25.764268+00,Sheila On 7,https://i.scdn.co/image/ab67616d0000b27354270208627aa8061a8abe21,1
6,2023-02-20 11:17:49.766415+00,Dewa 19,https://i.scdn.co/image/ab6761610000e5eb96bfa9ff288138f3432e0fa4,2
7,2023-02-20 13:09:10.276707+00,Ungu,https://i.scdn.co/image/ab6761610000e5eb2d4637222eabdc240d5134d4,1
8,2023-02-20 13:45:36.678623+00,Letto,https://i.scdn.co/image/ab6761610000e5eba72d9867fae5d76011bb2204,1
9,2023-03-27 09:07:30.234098+00,Radiohead,https://i.scdn.co/image/ab6761610000e5eba03696716c9ee605006047fd,3
10,2023-03-27 09:43:53.581764+00,U2,https://i.scdn.co/image/ab6761610000e5ebbfdf5b8c863b5f8c4519e032,3
11,2023-03-27 10:46:36.628699+00,Scorpions,https://i.scdn.co/image/ab6761610000e5eb7440170c0628c2945da819c3,2
12,2023-03-27 10:59:56.253472+00,Alan Walker,https://i.scdn.co/image/ab6761610000e5ebce202eea14763b8b7696936e,4
13,2023-03-27 11:53:53.165745+00,Slank,https://i.scdn.co/image/ab6761610000e5eba5d15944aab9b403980519e4,2
14,2023-03-27 12:06:14.806629+00,Gigi,https://i.scdn.co/image/ab67616d0000b273d1c95d09e5ee928c59c7de5a,2
15,2023-03-27 12:15:21.715343+00,Kotak,https://i.scdn.co/image/ab6761610000e5eb99b65de2b0896dd3043b6b73,2
16,2023-03-27 12:23:40.287596+00,D'Masiv,https://i.scdn.co/image/ab6761610000e5ebf91841f1330da697dd8af626,1
17,2023-03-27 12:38:02.393087+00,Padi,https://i.scdn.co/image/ab6761610000e5ebafb89fa9e33991f0ed8ce59f,1
18,2023-03-27 12:57:20.508425+00,Kangen Band,https://i.scdn.co/image/ab6761610000e5ebb899a133953ffb218e762829,1